,imdb_id,film_title,year,tradd_url,link,tags,filename,mp4,i
69,tt1321870,Gangster Squad,2013,/the-gangster-squad,/the-gangster-squad/trailer,Warner Bros. Pictures|Crime|Action|Josh Brolin|Ryan Gosling|Nick Nolte|Robert Patrick|Michael PeÃ±a|Giovanni Ribisi|Anthony Mackie|Emma Stone|Sean Penn,the-gangster-squad_trailer,https://vod-progressive.akamaized.net/exp=1614565364~acl=%2A%2F672718471.mp4%2A~hmac=79d84ae12653a8ac063dadbf5cb0ed35404663a65114ed351593d8d9e35a234c/vimeo-prod-skyfire-std-us/01/4889/7/199449532/672718471.mp4?filename=Gangster+Squad+-+Trailer+%2856490%29.mp4,69
70,tt0821640,Ghosts of Girlfriends Past,2009,/ghosts-of-girlfriends-past,/ghosts-of-girlfriends-past/trailer,New Line Cinema|Comedy|Matthew McConaughey|Jennifer Garner|Lacey Chabert|Michael Douglas|Emma Stone|Anne Archer|Robert Forster,ghosts-of-girlfriends-past_trailer,https://vod-progressive.akamaized.net/exp=1614557998~acl=%2Fvimeo-prod-skyfire-std-us%2F01%2F4692%2F7%2F198463453%2F668382973.mp4~hmac=ba257b4fe5993cafbb42a2e7f3025410ffb1097ebd39a22cfaff7e6679689c33/vimeo-prod-skyfire-std-us/01/4692/7/198463453/668382973.mp4?filename=Ghosts+of+Girlfriends+Past+-+Trailer+%288554%29.mp4,70
71,tt2267998,Gone Girl,2014,/gone-girl,/gone-girl/trailer,20th Century Fox|Drama|Thriller|Book|Ben Affleck|Rosamund Pike|Missi Pyle|Tyler Perry|Kim Dickens|Patrick Fugit|Sela Ward|Kathleen Rose Perkins,gone-girl_trailer,https://vod-progressive.akamaized.net/exp=1614568820~acl=%2A%2F674713166.mp4%2A~hmac=bb39501a21ce820750c6f085603bdb5f902dd8c0598aade102d8f10a2b509ec4/vimeo-prod-skyfire-std-us/01/4981/7/199905448/674713166.mp4?filename=Gone+Girl+-+Trailer+%2889288%29.mp4,71
72,tt2191701,Grown Ups 2,2013,/grown-ups-2,/grown-ups-2/trailer,Sony Pictures|Comedy|Franchise/Epic/Trilogy|Adam Sandler|Kevin James|Chris Rock|David Spade|Salma Hayek|Maya Rudolph|Maria Bello|Nick Swardson|Taylor Lautner|Milo Ventimiglia|Andy Samberg|Will Forte|Shaquille O'Neal,grown-ups-2_trailer,https://vod-progressive.akamaized.net/exp=1614568834~acl=%2A%2F673437877.mp4%2A~hmac=4dd877e0088aba992c9a0bf189e2648d6ffcb04f06b49b444c81832c320af9ef/vimeo-prod-skyfire-std-us/01/4924/7/199620715/673437877.mp4?filename=Grown+Ups+2+-+Trailer+%2872419%29.mp4,72
73,tt2015381,Guardians of the Galaxy,2014,/guardians-of-the-galaxy,/guardians-of-the-galaxy/teaser-trailer,Marvel Studios|Walt Disney Pictures|Comicbook|Action|Adventure|Sci Fi|Teaser|Chris Pratt|Dave Bautista|ZoÃ« SaldaÃ±a|Michael Rooker|Ophelia Lovibond|Lee Pace|Glenn Close|Karen Gillan|Benicio Del Toro|John C. Reilly|Djimon Hounsou,guardians-of-the-galaxy_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614568863~acl=%2A%2F674706795.mp4%2A~hmac=c501a7d55cb0fe52b2ec3e97f93fd4fe139449ea1eb73ec0825197ab2c6177d3/vimeo-prod-skyfire-std-us/01/4980/7/199903990/674706795.mp4?filename=Guardians+of+the+Galaxy+-+Teaser+Trailer+%2889213%29.mp4,73
74,tt2015381,Guardians of the Galaxy,2014,/guardians-of-the-galaxy,/guardians-of-the-galaxy/trailer,Marvel Studios|Walt Disney Pictures|Comicbook|Action|Adventure|Sci Fi|Chris Pratt|Dave Bautista|ZoÃ« SaldaÃ±a|Michael Rooker|Ophelia Lovibond|Lee Pace|Glenn Close|Karen Gillan|Benicio Del Toro|John C. Reilly|Djimon Hounsou,guardians-of-the-galaxy_trailer,https://vod-progressive.akamaized.net/exp=1614568873~acl=%2A%2F674469248.mp4%2A~hmac=fb1e1af32960e28d4d5870a5256e3d3eb6daeea72348dd2c90d2daa9350a973d/vimeo-prod-skyfire-std-us/01/4970/7/199851660/674469248.mp4?filename=Guardians+of+the+Galaxy+-+Trailer+%2886922%29.mp4,74
75,tt0481536,Harold & Kumar Escape from Guantanamo Bay,2008,/harold-kumar-guantanamo,/harold-kumar-guantanamo/trailer,New Line Cinema|Comedy|John Cho|Kal Penn|Rob Corddry|Neil Patrick Harris,harold-kumar-guantanamo_trailer,https://vod-progressive.akamaized.net/exp=1614568836~acl=%2A%2F668230665.mp4%2A~hmac=3f14ce6e382c962e7b7da6f460f984fc44b651f1cee773c0566cff6d1caf9cb6/vimeo-prod-skyfire-std-us/01/4685/7/198426135/668230665.mp4?filename=Harold+%26+Kumar+Escape+from+Guantanamo+Bay+-+Trailer+%283122%29.mp4,75
76,tt0481536,Harold & Kumar Escape from Guantanamo Bay,2008,/harold-kumar-guantanamo,/harold-kumar-guantanamo/teaser-trailer,New Line Cinema|Comedy|Teaser|John Cho|Kal Penn|Rob Corddry|Neil Patrick Harris,harold-kumar-guantanamo_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614568906~acl=%2A%2F668200595.mp4%2A~hmac=1a8ac26f9138c96c96a9d13e7ee5a46ed1e8d8618c85788e3a13951d5c0ec442/vimeo-prod-skyfire-std-us/01/4683/7/198419310/668200595.mp4?filename=Harold+%26+Kumar+Escape+from+Guantanamo+Bay+-+Teaser+Trailer+%282481%29.mp4,76
77,tt0366551,Harold & Kumar Go to White Castle,2004,/harold-kumar,/harold-kumar/trailer,New Line Cinema|Comedy|Kal Penn|John Cho|Neil Patrick Harris|Malin Akerman|Paula GarcÃ©s|Ryan Reynolds|Anthony Anderson,harold-kumar_trailer,https://vod-progressive.akamaized.net/exp=1614568919~acl=%2A%2F668200244.mp4%2A~hmac=edf990d17552bb357ca2506c912d23290a037d3546ced4d9b3514464d5f55920/vimeo-prod-skyfire-std-us/01/4683/7/198419222/668200244.mp4?filename=Harold+%26+Kumar+Go+to+White+Castle+-+Trailer+%282477%29.mp4,77
78,tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,/harry-potter-and-deathly-hallows-part-ii,/harry-potter-and-deathly-hallows-part-ii/feature-trailer,Warner Bros. Pictures|Adventure|Drama|Fantasy|Mystery|Franchise/Epic/Trilogy|Book|Romance|Daniel Radcliffe|Rupert Grint|Emma Watson|John Hurt|Ralph Fiennes|Alan Rickman|Helen McCrory|Bonnie Wright|Natalia Tena|Helena Bonham Carter,harry-potter-and-deathly-hallows-part-ii_feature-trailer,https://vod-progressive.akamaized.net/exp=1614568929~acl=%2A%2F671885395.mp4%2A~hmac=cd467cb3afbf4bf5a26417b95e088b998778fea0e852f829a2a5c600469fa536/vimeo-prod-skyfire-std-us/01/4852/7/199260296/671885395.mp4?filename=Harry+Potter+and+the+Deathly+Hallows+Part+II+-+Feature+Trailer+%2841340%29.mp4,78
79,tt0330373,Harry Potter and the Goblet of Fire,2005,/harry-potter-goblet-fire,/harry-potter-goblet-fire/trailer,Warner Bros. Pictures|Franchise/Epic/Trilogy|Book|Adventure|Fantasy|Daniel Radcliffe|Rupert Grint|Emma Watson|Michael Gambon|Stanislav Ianevski|Robert Pattinson|ClÃ©mence PoÃ©sy|Katie Leung|Maggie Smith|Brendan Gleeson|Alan Rickman|Timothy Spall|Miranda Richardson|Ralph Fiennes,harry-potter-goblet-fire_trailer,https://vod-progressive.akamaized.net/exp=1614568943~acl=%2A%2F668321703.mp4%2A~hmac=60c4a16db8098ad22639e101639e36b7cd91e70dee961763e13a851b4a8f6d36/vimeo-prod-skyfire-std-us/01/4689/7/198447899/668321703.mp4?filename=Harry+Potter+and+the+Goblet+of+Fire+-+Trailer+%286189%29.mp4,79
