href,enum,date,link,title,getme,,release date,release_added_diff,
/star-trek-vi-the-undiscovered-country,0,23-Oct-07,/star-trek-vi-the-undiscovered-country/teaser-trailer,Teaser Trailer,x,2,12/6/1991,-5800,
/star-trek-vi-the-undiscovered-country,1,23-Oct-07,/star-trek-vi-the-undiscovered-country/trailer,Trailer,x,2,12/6/1991,-5800,
/bugsy,0,12-Oct-07,/bugsy/trailer,Trailer,x,1,12/20/1991,-5775,
/jfk,0,18-Oct-07,/jfk/teaser-trailer,Teaser Trailer,x,1,12/20/1991,-5781,
/kuffs,0,3-Mar-13,/kuffs/trailer,Trailer,x,1,1/10/1992,-7723,
/the-hand-that-rocks-the-cradle,0,12-Sep-12,/the-hand-that-rocks-the-cradle/trailer,Trailer,x,1,1/10/1992,-7551,
/grand-canyon,0,17-Oct-07,/grand-canyon/trailer,Trailer,x,1,1/17/1992,-5752,
/juice,0,11-Jun-13,/juice/trailer,Trailer,x,1,1/17/1992,-7816,
/rush,0,22-Oct-07,/rush/trailer,Trailer,x,1,1/17/1992,-5757,
/my-cousin-vinny,0,19-Oct-07,/my-cousin-vinny/trailer,Trailer,x,1,3/13/1992,-5698,
/basic-instinct,0,11-Oct-07,/basic-instinct/trailer,Trailer,x,1,3/20/1992,-5683,
/white-men-cant-jump,0,26-Apr-14,/white-men-cant-jump/trailer,Trailer,x,1,3/27/1992,-8065,
/beethoven,0,11-Aug-16,/beethoven/trailer,Trailer,x,1,4/3/1992,-8896,
/newsies,0,24-Jun-09,/newsies/trailer,Trailer,x,1,4/10/1992,-6284,
/newsies,1,24-Jun-09,/newsies/trailer-b,Trailer B,0,1,4/10/1992,-6284,
/cover,0,9-Feb-08,/cover/trailer,Trailer,x,1,4/15/1992,-5778,
/city-of-joy,0,29-May-17,/city-of-joy/trailer,Trailer,x,1,4/17/1992,-9173,
/the-babe-1992,0,14-Oct-13,/the-babe-1992/trailer,Trailer,x,1,4/17/1992,-7850,
/player,0,22-Oct-07,/player/trailer,Trailer,x,1,5/8/1992,-5645,
/sister-act,0,1-Apr-13,/sister-act/trailer,Trailer,x,1,5/29/1992,-7612,
/patriot-games,0,22-Oct-07,/patriot-games/trailer,Trailer,x,1,6/5/1992,-5617,
/aces-iron-eagle-iii,0,25-Nov-12,/aces-iron-eagle-iii/trailer,Trailer,x,1,6/12/1992,-7471,
/batman-returns,0,15-Mar-09,/batman-returns/trailer,Trailer,x,1,6/19/1992,-6113,
