imdb_id,film_title,year,tradd_url,link,tags,filename
tt0426883,Alpha Dog,2007,/alpha-dog,/alpha-dog/trailer,Drama|Universal Pictures|Ben Foster|Shawn Hatosy|Emile Hirsch|Chris Marquette|Sharon Stone|Justin Timberlake|Anton Yelchin|Bruce Willis,alpha-dog_trailer
tt1823664,Annie,2014,/annie-2014,/annie-2014/feature-trailer,Sony Pictures|Comedy|Drama|Family|Musical/Broadway/Play|Remake|Jamie Foxx|Quvenzhané Wallis|Rose Byrne|Bobby Cannavale|Adewale Akinnuoye-Agbaje|David Zayas|Cameron Diaz|Musical,annie-2014_feature-trailer
tt1823664,Annie,2014,/annie-2014,/annie-2014/trailer,Sony Pictures|Comedy|Drama|Family|Musical/Broadway/Play|Remake|Jamie Foxx|Quvenzhané Wallis|Rose Byrne|Bobby Cannavale|Adewale Akinnuoye-Agbaje|David Zayas|Cameron Diaz|Musical,annie-2014_trailer
tt0313792,Anything Else,2003,/anything-else,/anything-else/trailer,DreamWorks Pictures|Comedy|Romance|Jason Biggs|Christina Ricci,anything-else_trailer
tt1024648,Argo,2012,/argo,/argo/trailer,Warner Bros. Pictures|Drama|Thriller|Ben Affleck|Alan Arkin|Bryan Cranston|John Goodman|Kerry Bishé|Kyle Chandler|Rory Cochrane|Christopher Denham|Tate Donovan|Clea DuVall|Victor Garber,argo_trailer
tt0375568,Astro Boy,2009,/astro-boy,/astro-boy/teaser-trailer,Summit Entertainment|Adventure|CG Animation|Television|Teaser,astro-boy_teaser-trailer
tt0783233,Atonement,2008,/atonement,/atonement/trailer,Focus Features|Drama|Romance|Keira Knightley|James McAvoy|Romola Garai|Vanessa Redgrave|Brenda Blethyn,atonement_trailer
tt1322269,August: Osage County,2014,/august-osage-county,/august-osage-county/feature-trailer,The Weinstein Company|Musical/Broadway/Play|Comedy|Drama|Meryl Streep|Julia Roberts|Ewan McGregor|Benedict Cumberbatch|Margo Martindale|Chris Cooper|Sam Shepard|Misty Upham|Juliette Lewis|Abigail Breslin|Dermot Mulroney|Julianne Nicholson|Newell Alexander,august-osage-county_feature-trailer
tt0455824,Australia,2008,/australia,/australia/feature-trailer,20th Century Fox|Action|Drama|Romance|Nicole Kidman|Hugh Jackman,australia_feature-trailer
tt0499549,Avatar,2009,/avatar,/avatar/trailer-b,20th Century Fox|Action|Adventure|Sci Fi|Sigourney Weaver|Stephen Lang|Zoë Saldaña|Sam Worthington|Michelle Rodriguez|Giovanni Ribisi|Joel David Moore|CCH Pounder|Peter Mensah|Laz Alonso|Wes Studi|Matt Gerald,avatar_trailer-b
tt1217613,Battle: Los Angeles,2011,/battle-los-angeles,/battle-los-angeles/trailer,Columbia Pictures|Sci Fi|Action|Teaser|Aaron Eckhart|Michelle Rodriguez|Ramon Rodriguez|Bridget Moynahan,battle-los-angeles_trailer
tt0486551,Beerfest,2006,/beerfest,/beerfest/trailer,Warner Bros. Pictures|Comedy|Kevin Heffernan|Steve Lemme|Paul Soter|Jürgen Prochnow|Erik Stolhanske|Will Forte|Eric Christian Olsen,beerfest_trailer
tt0159273,Behind Enemy Lines,2001,/behind-enemy-lines,/behind-enemy-lines/trailer,20th Century Fox|Action|War|Owen Wilson|Gabriel Macht|Gene Hackman|Joaquim De Almeida|Vladimir Mashkov|David Keith|Olek Krupa,behind-enemy-lines_trailer
tt0265086,Black Hawk Down,2002,/black-hawk-down,/black-hawk-down/teaser-trailer,Columbia Pictures|Historical|Action|Drama|War|Teaser|Josh Hartnett|Tom Sizemore|Ewan McGregor|Sam Shepard,black-hawk-down_teaser-trailer
tt1825683,Black Panther,2018,/black-panther-2018,/black-panther-2018/teaser-trailer,Marvel Studios|Walt Disney Pictures|Comicbook|Action|Sci Fi|Fantasy|Teaser|Chadwick Boseman|Danai Gurira|Lupita Nyong'o|Michael B. Jordan|Martin Freeman|Daniel Kaluuya|Angela Bassett|Andy Serkis|Sterling K. Brown|Isaach De Bankolé|Forest Whitaker,black-panther-2018_teaser-trailer
tt1430612,Brick Mansions,2014,/brick-mansions,/brick-mansions/feature-trailer,Relativity Media|Action|Crime|Remake|Paul Walker|RZA|David Belle|Carlo Rota|Kalinka Petrie|Bruce Ramsay,brick-mansions_feature-trailer
tt0901476,Bride Wars,2009,/bride-wars,/bride-wars/trailer,20th Century Fox|Comedy|Romance|Anne Hathaway|Kate Hudson|Candice Bergen|Kristen Johnston,bride-wars_trailer
tt0458339,Captain America: The First Avenger,2011,/captain-america-the-first-avenger,/captain-america-the-first-avenger/trailer,Paramount Pictures|Action|Adventure|Comicbook|Chris Evans|Hayley Atwell|Hugo Weaving|Sebastian Stan|Stanley Tucci|Tommy Lee Jones|Dominic Cooper|Natalie Dormer,captain-america-the-first-avenger_trailer
tt1194417,Casino Jack,2011,/bagman,/bagman/trailer,Thriller|Kevin Spacey|Berry Pepper|Kelly Preston|Jon Lovitz|Graham Greene|Rachelle Lefevre|Maury Chaykin|Hannibal Pictures,bagman_trailer
tt0450405,Cirque du Freak: The Vampire's Assistant,2009,/cirque-du-freak-vampires-assistant,/cirque-du-freak-vampires-assistant/trailer,Universal Pictures|Action|Drama|Family|Adventure|Fantasy|Horror|Thriller|John C. Reilly|Ken Watanabe|Josh Hutcherson|Chris Massoglia|Patrick Fugit|Ray Stevenson|Michael Cerveris|Frankie Faison|Jane Krakowski|Orlando Jones|Kristen Schaal|Salma Hayek,cirque-du-freak-vampires-assistant_trailer
tt0800320,Clash of the Titans,2010,/clash-of-the-titans,/clash-of-the-titans/feature-trailer,Warner Bros. Pictures|Action|Adventure|Teaser|Sam Worthington|Liam Neeson|Ralph Fiennes|Danny Huston|Gemma Arterton|Mads Mikkelsen|Jason Flemyng|Alexa Davalos,clash-of-the-titans_feature-trailer
tt0800320,Clash of the Titans,2010,/clash-of-the-titans,/clash-of-the-titans/trailer,Warner Bros. Pictures|Action|Adventure|Teaser|Sam Worthington|Liam Neeson|Ralph Fiennes|Danny Huston|Gemma Arterton|Mads Mikkelsen|Jason Flemyng|Alexa Davalos,clash-of-the-titans_trailer
tt1371111,Cloud Atlas,2012,/cloud-atlas,/cloud-atlas/trailer,Warner Bros. Pictures|Drama|Fantasy|Sci Fi|Book|Tom Hanks|Halle Berry|Jim Broadbent|Hugo Weaving|Jim Sturgess|Doona Bae|Ben Whishaw|James D'Arcy|Xun Zhou|Keith David|David Gyasi|Susan Sarandon|Hugh Grant,cloud-atlas_trailer
tt0844471,Cloudy with a Chance of Meatballs,2009,/cloudy-wuth-a-chance-of-meatballs,/cloudy-wuth-a-chance-of-meatballs/feature-trailer,Columbia Pictures|CG Animation|Book|Family|Comedy|Bill Hader|Anna Faris|James Caan|Bruce Campbell|Andy Samberg|Mr T.|Tracy Morgan,cloudy-wuth-a-chance-of-meatballs_feature-trailer
tt0345074,Connie and Carla,2004,/connie-and-carla,/connie-and-carla/trailer,Universal Pictures|Comedy|Nia Vardalos|Toni Collette|David Duchovny,connie-and-carla_trailer
tt0121164,Corpse Bride,2005,/corpse-bride,/corpse-bride/teaser-trailer,Warner Bros. Pictures|Teaser|Stop Motion Animation|Johnny Depp|Helena Bonham Carter|Emily Watson,corpse-bride_teaser-trailer
tt0121164,Corpse Bride,2005,/corpse-bride,/corpse-bride/trailer,Warner Bros. Pictures|Stop Motion Animation|Johnny Depp|Helena Bonham Carter|Emily Watson,corpse-bride_trailer
tt0409847,Cowboys & Aliens,2011,/cowboys-and-aliens,/cowboys-and-aliens/feature-trailer,Universal Pictures|Action|Thriller|Comicbook|Daniel Craig|Harrison Ford|Olivia Wilde|Clancy Brown|Adam Beach|Sam Rockwell,cowboys-and-aliens_feature-trailer
tt1121931,Crank: High Voltage,2009,/crank-high-voltage,/crank-high-voltage/trailer,Lionsgate|Jason Statham|Amy Smart|Dwight Yoakam|Efren Ramirez|Bai Ling|Action,crank-high-voltage_trailer
tt1570728,"Crazy, Stupid, Love.",2011,/crazy-stupid-love,/crazy-stupid-love/trailer,Warner Bros. Pictures|Comedy|Romance|Steve Carell|Ryan Gosling|Emma Stone|Julianne Moore|Marisa Tomei|Kevin Bacon,crazy-stupid-love_trailer
tt1153706,Dance Flick,2009,/dance-flick,/dance-flick/trailer,Paramount Pictures|Comedy|Chelsea Makela|Keenen Ivory Wayans|Shawn Wayans|Marlon Wayans|Brennan Hillard|Kim Wayans|Damon Wayans Jr,dance-flick_trailer
tt0433362,Daybreakers,2010,/daybreakers,/daybreakers/trailer,Lionsgate|Horror|Ethan Hawke|Willem Dafoe|Claudia Karvan|Michael Dorman|Vince Colosimo|Isabel Lucas|Sam Neill,daybreakers_trailer
tt1137450,Death Wish,2018,/death-wish,/death-wish/feature-trailer,Annapurna Pictures|Action|Crime|Drama|Book|Bruce Willis|Elisabeth Shue|Metro Goldwyn Mayer (MGM)|Vincent D'Onofrio|Kimberly Elise|Dean Norris|Camila Morrone,death-wish_feature-trailer
tt0829150,Dracula Untold,2014,/dracula-untold,/dracula-untold/trailer,Universal Pictures|Action|Drama|Fantasy|Luke Evans|Sarah Gadon|Dominic Cooper|Samantha Barks|Diarmaid Murtagh|Charles Dance,dracula-untold_trailer
tt0879870,Eat Pray Love,2010,/eat-pray-love,/eat-pray-love/trailer,Columbia Pictures|Comedy|Drama|Book|Julia Roberts|Richard Jenkins|Javier Bardem|Viola Davis|Billy Crudup,eat-pray-love_trailer
tt1631867,Edge of Tomorrow,2014,/edge-of-tomorrow,/edge-of-tomorrow/feature-trailer,Warner Bros. Pictures|Book|Action|Sci Fi|Tom Cruise|Emily Blunt,edge-of-tomorrow_feature-trailer
tt1631867,Edge of Tomorrow,2014,/edge-of-tomorrow,/edge-of-tomorrow/trailer,Warner Bros. Pictures|Book|Action|Sci Fi|Tom Cruise|Emily Blunt|Bill Paxton|Kick Gurry|Dragomir Mrsic|Charlotte Riley|Jonas Armstrong|Franz Drameh,edge-of-tomorrow_trailer
tt1674771,Entourage,2015,/entourage,/entourage/trailer,Warner Bros. Pictures|Comedy|Television|Billy Bob Thornton|Jeremy Piven|Nora Dunn|Emmanuelle Chriqui|Kevin Dillon|Debi Mazar|Adrian Grenier|Jerry Ferrara|Rhys Coiro|Kevin Connolly|Haley Joel Osment|Constance Zimmer|Perrey Reeves|Emily Ratajkowski|Rex Lee,entourage_trailer
tt0848537,Epic,2013,/epic-2013,/epic-2013/feature-trailer,20th Century Fox|CG Animation|Adventure|Action|Josh Hutcherson|Amanda Seyfried|Aziz Ansari|Colin Farrell|Christoph Waltz|Jason Sudeikis,epic-2013_feature-trailer
tt0848537,Epic,2013,/epic-2013,/epic-2013/trailer,20th Century Fox|CG Animation|Adventure|Action|Teaser|Josh Hutcherson|Amanda Seyfried|Aziz Ansari,epic-2013_trailer
tt0780511,Everybody's Fine,2009,/everybodys-fine,/everybodys-fine/trailer,Miramax Films|Comedy|Drama|Adventure|Robert De Niro|Drew Barrymore|Kate Beckinsale|Sam Rockwell,everybodys-fine_trailer
tt1225822,Extract,2009,/extract,/extract/teaser-trailer,Miramax Films|Comedy|Teaser|Jason Bateman|Mila Kunis|Ben Affleck|Kristen Wiig|J.K. Simmons|Clifton Collins Jr.|Beth Grant,extract_teaser-trailer
tt0120663,Eyes Wide Shut,1999,/eyes-wide-shut,/eyes-wide-shut/feature-trailer,Warner Bros. Pictures|Drama|Mystery|Romance|Tom Cruise|Nicole Kidman|Sydney Pollack|Leelee Sobieski|Marie Richardson|Rade Serbedzija|Todd Field|Vinessa Shaw|Sky du Mont|Fay Masterson,eyes-wide-shut_feature-trailer
tt0120663,Eyes Wide Shut,1999,/eyes-wide-shut,/eyes-wide-shut/trailer,Warner Bros. Pictures|Drama|Mystery|Romance|Tom Cruise|Nicole Kidman|Sydney Pollack|Leelee Sobieski,eyes-wide-shut_trailer
tt1013752,Fast & Furious,2009,/fast-and-furious-2009,/fast-and-furious-2009/trailer,Universal Pictures|Franchise/Epic/Trilogy|Action|Thriller|Vin Diesel|Paul Walker|Michelle Rodriguez|Jordana Brewster,fast-and-furious-2009_trailer
tt1433108,Faster,2010,/faster,/faster/trailer,CBS Films|Thriller|Action|Drama|Dwayne Johnson|Maggie Grace|Billy Bob Thornton|Jennifer Carpenter|Carla Gugino|Adewale Akinnuoye-Agbaje|Oliver Jackson-Cohen,faster_trailer
tt1433108,Faster,2010,/faster,/faster/teaser-trailer,CBS Films|Thriller|Action|Drama|Teaser|Dwayne Johnson|Maggie Grace|Billy Bob Thornton,faster_teaser-trailer
tt2322441,Fifty Shades of Grey,2015,/fifty-shades-of-grey,/fifty-shades-of-grey/trailer,Focus Features|Book|Drama|Romance|Jamie Dornan|Dakota Johnson,fifty-shades-of-grey_trailer
tt1082601,Fighting,2009,/fighting,/fighting/trailer,Rogue Pictures|Drama|Channing Tatum|Terrence Howard|Brian J. White|Luis Guzman|Zulay Henao,fighting_trailer
tt1907668,Flight,2012,/flight-2012,/flight-2012/trailer,Paramount Pictures|Drama|Denzel Washington|Kelly Reilly|Don Cheadle|Bruce Greenwood|Brian Geraghty|John Goodman|Tamara Tunie,flight-2012_trailer
tt2381941,Focus,2015,/focus-2014,/focus-2014/trailer,Warner Bros. Pictures|Comedy|Crime|Romance|Margot Robbie|Will Smith|Rodrigo Santoro|BD Wong|Gerald McRaney|Robert Taylor|Adrian Martinez|Brennan Brown,focus-2014_trailer
tt0390022,Friday Night Lights,2004,/friday-night-lights,/friday-night-lights/trailer,Universal Pictures|Sport|Drama|Billy Bob Thornton|Jay Hernandez|Tim McGraw|Lucas Black|Derek Luke|Lee Thompson Young|Connie Britton|Garrett Hedlund,friday-night-lights_trailer
tt0492389,Furry Vengeance,2010,/furry-vengeance,/furry-vengeance/trailer,Summit Entertainment|Comedy|Brendan Fraser|Brooke Shields|Ken Jeong|Matt Prokop,furry-vengeance_trailer
tt1583421,G.I. Joe: Retaliation,2013,/gi-joe-2-retaliation,/gi-joe-2-retaliation/trailer,Paramount Pictures|Action|Adventure|Cartoon|Franchise/Epic/Trilogy|Channing Tatum|Ray Park|Dwayne Johnson|Bruce Willis|Elodie Yung|RZA|D.J. Cotrona|Adrianne Palicki|Ray Stevenson|Joseph Mazzello|Walton Goggins|DeRay Davis,gi-joe-2-retaliation_trailer
tt1034032,Gamer,2009,/gamer,/gamer/trailer,Lionsgate|Foreign / Foreign Language|Action|Drama|Thriller|Gerard Butler|Michael C. Hall|Milo Ventimiglia|Alison Lohman|John Lequizamo|Efren Ramirez|Terry Crews|Kyra Sedgwick|Zoe Bell|Ludacris,gamer_trailer
tt1321870,Gangster Squad,2013,/the-gangster-squad,/the-gangster-squad/feature-trailer,Warner Bros. Pictures|Crime|Action|Josh Brolin|Ryan Gosling|Nick Nolte|Robert Patrick|Michael Peña|Giovanni Ribisi|Anthony Mackie|Emma Stone|Sean Penn,the-gangster-squad_feature-trailer
tt1321870,Gangster Squad,2013,/the-gangster-squad,/the-gangster-squad/trailer,Warner Bros. Pictures|Crime|Action|Josh Brolin|Ryan Gosling|Nick Nolte|Robert Patrick|Michael Peña|Giovanni Ribisi|Anthony Mackie|Emma Stone|Sean Penn,the-gangster-squad_trailer
tt0821640,Ghosts of Girlfriends Past,2009,/ghosts-of-girlfriends-past,/ghosts-of-girlfriends-past/trailer,New Line Cinema|Comedy|Matthew McConaughey|Jennifer Garner|Lacey Chabert|Michael Douglas|Emma Stone|Anne Archer|Robert Forster,ghosts-of-girlfriends-past_trailer
tt2267998,Gone Girl,2014,/gone-girl,/gone-girl/trailer,20th Century Fox|Drama|Thriller|Book|Ben Affleck|Rosamund Pike|Missi Pyle|Tyler Perry|Kim Dickens|Patrick Fugit|Sela Ward|Kathleen Rose Perkins,gone-girl_trailer
