id,imdb_id,film_title,year,tradd_url,link,tags,filename,mp4,cheerful,passionate,sad,excited,mighty,expectant ,bar,drive,night,run,twilight,love,movie,broadway,animation,KTV hit,Oscar,advertisement,two dimensions,Disney,comic film,the 00's ,the 10's ,action,adventure,comicbook,comedy,thriller,drama,musical,war,sci fi,fantasy,crime,mystery,romance,epic,sport,family
110,tt0139462,Message in a Bottle,1999,/message-in-a-bottle,/message-in-a-bottle/trailer,Warner Bros. Pictures|Drama|Romance|Book|Kevin Costner|Robin Wright|Paul Newman|John Savage|Illeana Douglas|Robbie Coltrane,message-in-a-bottle_trailer,https://vod-progressive.akamaized.net/exp=1614569542~acl=%2A%2F676555255.mp4%2A~hmac=f3deaf0db3dfa4423f7b7a4b0c6aa7d46d6d2d4d15f30b9a22bf9442096a0685/vimeo-prod-skyfire-std-us/01/65/8/200325213/676555255.mp4?filename=Message+in+a+Bottle+-+Trailer+%28114745%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
111,tt0864835,Mr. Peabody & Sherman,2014,/mr-peabody-sherman,/mr-peabody-sherman/feature-trailer,Dreamworks Animation|20th Century Fox|CG Animation|Adventure|Family|Comedy|Ty Burrell|Max Charles|Ariel Winter|Allison Janney|Patrick Warburton|Stephen Colbert,mr-peabody-sherman_feature-trailer,https://vod-progressive.akamaized.net/exp=1614569552~acl=%2A%2F674329195.mp4%2A~hmac=3439df9703f7e692e046fb05be3efe735127dd2c01ce63994b64f2c02c69a5a4/vimeo-prod-skyfire-std-us/01/4964/7/199820860/674329195.mp4?filename=Mr.+Peabody+%26+Sherman+-+Feature+Trailer+%2885473%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
112,tt0864835,Mr. Peabody & Sherman,2014,/mr-peabody-sherman,/mr-peabody-sherman/trailer,Dreamworks Animation|20th Century Fox|CG Animation|Adventure|Family|Comedy|Ty Burrell|Max Charles|Ariel Winter|Allison Janney|Stephen Colbert|Leslie Mann|Stanley Tucci|Patrick Warburton|Lake Bell|Zach Callison|Dennis Haysbert,mr-peabody-sherman_trailer,https://vod-progressive.akamaized.net/exp=1614569579~acl=%2A%2F674148589.mp4%2A~hmac=c13a697ef1e4e43e789ce4496e5e9af8f339a8e1c362e5a02740a7c10ddd12d0/vimeo-prod-skyfire-std-us/01/4955/7/199779842/674148589.mp4?filename=Mr.+Peabody+%26+Sherman+-+Trailer+%2882455%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
113,tt0408306,Munich,2006,/munich,/munich/trailer,Universal Pictures|Historical|Drama|Thriller|Eric Bana|Daniel Craig|Geoffrey Rush|Lynn Cohen|Ayelet Zurer|CiarÃ¡n Hinds|Mathieu Kassovitz|Hanns Zischler,munich_trailer,https://vod-progressive.akamaized.net/exp=1614569606~acl=%2A%2F668100990.mp4%2A~hmac=5a6b74e11910218c9c21c95d014ca72b2a02a80422733166240d5c64f1fc9c9c/vimeo-prod-skyfire-std-us/01/4679/7/198397847/668100990.mp4?filename=Munich+-+Trailer+%281005%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
115,tt1598822,New Year's Eve,2011,/new-years-eve,/new-years-eve/feature-trailer,Katherine Heigl|Ashton Kutcher|Lea Michele|Josh Duhamel|Romance|Comedy|Warner Bros. Pictures|New Line Cinema|Zac Efron|Jessica Biel|Hilary Swank|Sarah Jessica Parker|Jon Bon Jovi|Robert De Niro|Abigail Breslin|Halle Berry|Ludacris|Hector Elizondo,new-years-eve_feature-trailer,https://vod-progressive.akamaized.net/exp=1614569649~acl=%2A%2F672183228.mp4%2A~hmac=ba5d022d6bfb4d4542939685e4280160741a15901cfeb7de24458386ed9b2484/vimeo-prod-skyfire-std-us/01/4865/7/199328791/672183228.mp4?filename=New+Year%27s+Eve+-+Feature+Trailer+%2846686%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
117,tt1623288,ParaNorman,2012,/paranorman,/paranorman/teaser-trailer,Focus Features|CG Animation|Comedy|Thriller|Teaser|Stop Motion Animation,paranorman_teaser-trailer,https://vod-progressive.akamaized.net/exp=1614569695~acl=%2A%2F672324668.mp4%2A~hmac=92d8585d41fee6ea59245353be04ef06e6e7c56d9881eff89400585c3ab53a3b/vimeo-prod-skyfire-std-us/01/4871/7/199359480/672324668.mp4?filename=ParaNorman+-+Teaser+Trailer+%2848157%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
121,tt0910936,Pineapple Express,2008,/pineapple-express,/pineapple-express/trailer,Columbia Pictures|Comedy|Seth Rogen|James Franco|Gary Cole|Rosie Perez|Danny R. McBride|Amber Heard|James Remar,pineapple-express_trailer,https://vod-progressive.akamaized.net/exp=1614569817~acl=%2A%2F668262552.mp4%2A~hmac=4dfcdb463d53c83dd297ecb08fc644a95a02ac34f632da7b010f8fa209c3c165/vimeo-prod-skyfire-std-us/01/4686/7/198433438/668262552.mp4?filename=Pineapple+Express+-+Trailer+%284027%29.mp4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
123,tt2980706,Planes: Fire & Rescue,2014,/planes-fire-rescue,/planes-fire-rescue/trailer,Walt Disney Pictures|CG Animation|Adventure|Comedy|Family|Dane Cook|Julie Bowen|Ed Harris|Regina King|Jerry Stiller|Fred Willard,planes-fire-rescue_trailer,https://vod-progressive.akamaized.net/exp=1614569853~acl=%2A%2F674690720.mp4%2A~hmac=5effe8da27cb0c6db517557df81cf85a40afd23f538ceee47d1744e5b29fc669/vimeo-prod-skyfire-std-us/01/4980/7/199900530/674690720.mp4?filename=Planes%3A+Fire+%26+Rescue+-+Trailer+%2889055%29.mp4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
124,tt1142433,Post Grad,2009,/post-grad,/post-grad/trailer,20th Century Fox|Comedy|Alexis Bledel|Zach Gilford|Rodrigo Santoro|Jane Lynch|Fred Armison|Bobby Coleman|Andrew Daly|Kirk Fox|Catherine Reitman|Craig Robinson|Carol Burnett|Michael Keaton,post-grad_trailer,https://vod-progressive.akamaized.net/exp=1614569895~acl=%2A%2F668449993.mp4%2A~hmac=d588701dd0e9b84f39991d056932725f01af5a5a26e690707d5ecbfa1a1e007e/vimeo-prod-skyfire-std-us/01/4696/7/198480196/668449993.mp4?filename=Post+Grad+-+Trailer+%2810533%29.mp4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,tt1192628,Rango,2011,/rango,/rango/trailer,Paramount Pictures|CG Animation|Action|Adventure|Johnny Depp,rango_trailer,https://vod-progressive.akamaized.net/exp=1614570035~acl=%2A%2F669098894.mp4%2A~hmac=9052e88273205f519dc7b944abf55cff9bfd68eea777b04480c671edea42f35f/vimeo-prod-skyfire-std-us/01/4727/7/198637294/669098894.mp4?filename=Rango+-+Trailer+%2823913%29.mp4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
