title,movieid,year,movieurl,release_date,release_country,Trailer_Results,href,title,date,director,writer,cast,Trailers
Deception,tt0800240,2008,http://www.imdb.com/title/tt0800240/,4/25/2008,USA,6,/deception,Deception,4/25/2008,Marcel Langenegger,"Mark Bomback, Jason Keller, Patrick Marber","Ewan McGregor,  Hugh Jackman,  Michelle Williams",4
Harold & Kumar Escape from Guantanamo Bay,tt0481536,2008,http://www.imdb.com/title/tt0481536/,4/25/2008,USA,31,/harold-kumar-guantanamo,Harold & Kumar Escape from Guantanamo Bay,4/25/2008,"Jon Hurwitz, Hayden Schlossberg","Jon Hurwitz, Hayden Schlossberg","John Cho,  Kal Penn,  David Krumholtz",3
Iron Man,tt0371746,2008,http://www.imdb.com/title/tt0371746/,5/2/2008,USA,31,/iron-man,Iron Man,5/2/2008,Jon Favreau,"Art Marcum, Matt Holloway, Mark Fergus, Hawk Ostby","Robert Downey Jr,  Terrence Howard,  Gwyneth Paltrow",27
Made of Honor,tt0866439,2008,http://www.imdb.com/title/tt0866439/,5/2/2008,USA,31,/made-of-honor,Made of Honor,5/2/2008,Paul Weiland,"Deborah Kaplan, Harry Elfont, Adam Sztykiel","Patrick Dempsey,  Michelle Monaghan,  Sydney Pollack",6
Redbelt,tt1012804,2008,http://www.imdb.com/title/tt1012804/,5/9/2008,USA,1,/redbelt,Redbelt,4/25/2008,David Mamet,David Mamet,"Chiwetel Ejiofor,  Alice Braga,  Tim Allen",2
Speed Racer,tt0811080,2008,http://www.imdb.com/title/tt0811080/,5/9/2008,USA,15,/speed-racer,Speed Racer,5/9/2008,The Wachowski Brothers,The Wachowski Brothers,"Emile Hirsch,  Christina Ricci,  Susan Sarandon",18
Then She Found Me,tt0455805,2008,http://www.imdb.com/title/tt0455805/,5/9/2008,USA,31,/then-she-found-me,Then She Found Me,4/25/2008,Helen Hunt,"Helen Hunt, Vic Levin, Alice Arlen","Helen Hunt,  Bette Midler,  Colin Firth",2
What Happens in Vegas,tt1033643,2008,http://www.imdb.com/title/tt1033643/,5/9/2008,USA,31,/what-happens-in-vegas,What Happens in Vegas,5/16/2008,Tom Vaughan,Dana Fox,"Cameron Diaz,  Ashton Kutcher,  Rob Corddry",7
The Chronicles of Narnia: Prince Caspian,tt0499448,2008,http://www.imdb.com/title/tt0499448/,5/16/2008,USA,31,/narnia-prince-caspian,The Chronicles of Narnia: Prince Caspian,5/16/2008,Andrew Adamson,"Andrew Adamson, Christopher Markus, Stephen McFeely","Georgie Henley,  Skandar Keynes,  William Moseley",18
Indiana Jones and the Kingdom of the Crystal Skull,tt0367882,2008,http://www.imdb.com/title/tt0367882/,5/22/2008,USA,31,/indiana-jones-kingdom-crystal-skull,Indiana Jones and the Kingdom of the Crystal Skull,5/22/2008,Steven Spielberg,"David Koepp, Jeff Nathanson","Harrison Ford,  Shia LaBeouf,  Cate Blanchett",40
Before the Rains,tt0870195,2008,http://www.imdb.com/title/tt0870195/,5/23/2008,USA,31,/before-the-rains,Before the Rains,7/25/2008,Santosh Sivan,"Cathy Rabin, Dan Verete","Linus Roache,  Rahul Bose,  Nandita Das",1
Son of Rambow,tt0845046,2008,http://www.imdb.com/title/tt0845046/,5/23/2008,USA,31,/son-of-rambow,Son of Rambow,5/2/2008,Garth Jennings,Garth Jennings,"Will Poulter,  Bill Milner,  Jules Sitruk",2
The Visitor,tt0857191,2008,http://www.imdb.com/title/tt0857191/,5/23/2008,USA,4,/the-visitor,The Visitor,4/11/2008,Thomas McCarthy,Thomas McCarthy,"Richard Jenkins,  Hiam Abbass,  Haaz Sleiman",1
Sex and the City,tt1000774,2008,http://www.imdb.com/title/tt1000774/,5/30/2008,USA,30,/sex-and-the-city,Sex and the City: The Movie,5/30/2008,Michael Patrick King,Michael Patrick King,"Sarah Jessica Parker,  Kim Cattrall,  Kristin Davis",13
The Fall,tt0460791,2008,http://www.imdb.com/title/tt0460791/,5/30/2008,USA,32,/the-fall,The Fall,5/9/2008,Tarsem Singh,"Tarsem Singh, Dan Gilroy","Lee Pace,  Catinca Untaru,  Justine Waddell",8
The Strangers,tt0482606,2008,http://www.imdb.com/title/tt0482606/,5/30/2008,USA,16,/the-strangers,The Strangers,5/30/2008,Bryan Bertino,Bryan Bertino,"Liv Tyler,  Scott Speedman,  Laura Margolis",4
Kung Fu Panda,tt0441773,2008,http://www.imdb.com/title/tt0441773/,6/6/2008,USA,13,/kung-fu-panda,Kung Fu Panda,6/6/2008,"John Stevenson, Mark Osborne","Dan Harmon, Rob Schrab","Jack Black,  Angelina Jolie,  Lucy Liu",28
You Don't Mess with the Zohan,tt0960144,2008,http://www.imdb.com/title/tt0960144/,6/6/2008,USA,30,/you-dont-mess-zohan,You Don't Mess with the Zohan,6/6/2008,Dennis Dugan,"Adam Sandler, Judd Apatow, Robert Smigel","Adam Sandler,  Rob Schneider,  Emmanuelle Chriqui",8
The Children of Huang Shi,tt0889588,2008,http://www.imdb.com/title/tt0889588/,6/13/2008,USA,31,/children-of-huang-shi,The Children of Huang Shi,5/23/2008,Roger Spottiswoode,"Jane Hawksley, James MacManus","Jonathan Rhys Meyers,  Radha Mitchell,  Chow Yun-Fat",2
The Happening,tt0949731,2008,http://www.imdb.com/title/tt0949731/,6/13/2008,USA,3,/the-happening,The Happening,6/13/2008,M. Night Shyamalan,M. Night Shyamalan,"Mark Wahlberg,  Zooey Deschanel,  John Leguizamo",10
The Incredible Hulk,tt0800080,2008,http://www.imdb.com/title/tt0800080/,6/13/2008,USA,12,/the-incredible-hulk,The Incredible Hulk,6/13/2008,Louis Leterrier,"Jack Kirby (comic book), Stan Lee (comic book), Edward Norton, Zak Penn","Edward Norton,  Liv Tyler,  Tim Roth",29
Get Smart,tt0425061,2008,http://www.imdb.com/title/tt0425061/,6/20/2008,USA,31,/get-smart,Get Smart,6/20/2008,Peter Segal,"Tom J. Astle, Matt Ember","Steve Carell,  Anne Hathaway,  Bill Murray",22
The Love Guru,tt0811138,2008,http://www.imdb.com/title/tt0811138/,6/20/2008,USA,31,/the-love-guru,The Love Guru,6/20/2008,Marco Schnabel,"Mike Myers, Graham Gordy","Mike Myers,  Jessica Alba,  Justin Timberlake",14
WALL�E,tt0910970,2008,http://www.imdb.com/title/tt0910970/,6/27/2008,USA,24,/wall-e,Wall•E,6/27/2008,Andrew Stanton,Andrew Stanton,"Fred Willard,  Jeff Garlin,  Ben Burtt",43
Wanted,tt0493464,2008,http://www.imdb.com/title/tt0493464/,6/27/2008,USA,20,/wanted,Wanted,6/27/2008,Timur Bekmambetov,"Michael Brandt, Derek Haas, Chris Morgan","James McAvoy,  Morgan Freeman,  Terence Stamp",26
Hancock,tt0448157,2008,http://www.imdb.com/title/tt0448157/,7/2/2008,USA,1,/hancock,Hancock,7/2/2008,Peter Berg,"John August, Peter Berg, Vince Gilligan, Akiva Goldsman, Vincent Ngo","Will Smith,  Charlize Theron,  Jason Bateman",22
Kit Kittredge: An American Girl,tt0846308,2008,http://www.imdb.com/title/tt0846308/,7/2/2008,USA,31,/kit-kittredge-an-american-girl,Kit Kittredge: An American Girl,7/2/2008,Patricia Rozema,Ann Peacock,"Willow Smith,  Abigail Breslin. Stanley Tucci,  Jane Krakowski",2
Brick Lane,tt0940585,2008,http://www.imdb.com/title/tt0940585/,7/11/2008,USA,13,/brick-lane,Brick Lane,6/20/2008,Sarah Gavron,"Laura Jones, Abi Morgan","Tannishtha Chatterjee,  Satish Kaushik,  Christopher Simpson",2
Hellboy II: The Golden Army,tt0411477,2008,http://www.imdb.com/title/tt0411477/,7/11/2008,USA,31,/hellboy-ii-golden-army,Hellboy II: The Golden Army,7/11/2008,Guillermo del Toro,Guillermo del Toro,"Ron Perlman,  Selma Blair,  Luke Goss",40
Journey to the Center of the Earth,tt0373051,2008,http://www.imdb.com/title/tt0373051/,7/11/2008,USA,30,/journey-to-center-of-earth-3d,Journey to the Center of the Earth 3D,7/11/2008,Eric Brevig,D.V. DeVincentis,"Brendan Fraser,  Josh Hutcherson,  Anita Briem",10
Meet Dave,tt0765476,2008,http://www.imdb.com/title/tt0765476/,7/11/2008,USA,26,/meet-dave,Meet Dave,7/11/2008,Brian Robbins,"Bill Corbett, Rob Greenberg","Eddie Murphy,  Ed Helms,  Elizabeth Banks",2
Mamma Mia!,tt0795421,2008,http://www.imdb.com/title/tt0795421/,7/18/2008,USA,6,/mamma-mia,Mamma Mia!,7/18/2008,Phyllida Lloyd,Catherine Johnson,"Meryl Streep,  Pierce Brosnan,  Amanda Seyfried",8
Space Chimps,tt0482603,2008,http://www.imdb.com/title/tt0482603/,7/18/2008,USA,31,/space-chimps,Space Chimps,7/18/2008,Kirk De Micco,"Simon Goltsman, Kirk De Micco","Jeff Daniels,  Stanley Tucci,  Patrick Warburton",5
The Dark Knight,tt0468569,2008,http://www.imdb.com/title/tt0468569/,7/18/2008,USA,31,/the-dark-knight,The Dark Knight,7/18/2008,Christopher Nolan,"Christopher Nolan, Jonathan Nolan, David S. Goyer, Bob Kane, Bill Finger, Jerry Robinson","Christian Bale,  Heath Ledger,  Aaron Eckhart",71
Step Brothers,tt0838283,2008,http://www.imdb.com/title/tt0838283/,7/25/2008,USA,31,/step-brothers,Step Brothers,7/25/2008,Adam McKay,"Will Ferrell, Adam McKay","Will Ferrell,  John C. Reilly,  Richard Jenkins",13
The X Files: I Want to Believe,tt0443701,2008,http://www.imdb.com/title/tt0443701/,7/25/2008,USA,30,/the-x-files-2,The X-Files: I Want to Believe,7/25/2008,Chris Carter,"Chris Carter, Frank Spotnitz","David Duchovny,  Gillian Anderson,  Xzibit",19
The Mummy: Tomb of the Dragon Emperor,tt0859163,2008,http://www.imdb.com/title/tt0859163/,8/1/2008,USA,31,/mummy-tomb-dragon-emperor,The Mummy: Tomb of the Dragon Emperor,8/1/2008,Rob Cohen,"Alfred Gough, Miles Millar","Brendan Fraser,  Maria Bello,  Jet Li",22
Swing Vote,tt1027862,2008,http://www.imdb.com/title/tt1027862/,8/1/2008,USA,6,/swing-vote,Swing Vote,8/1/2008,Joshua Michael Stern,"Joshua Michael Stern, Jason Richman","Kevin Costner,  Dennis Hopper,  Nathan Lane",10
The Wackness,tt1082886,2008,http://www.imdb.com/title/tt1082886/,8/1/2008,USA,1,/the-wackness,The Wackness,7/3/2008,Jonathan Levine,Jonathan Levine,"Josh Peck,  Sir Ben Kingsley,  Method Man",5
Pineapple Express,tt0910936,2008,http://www.imdb.com/title/tt0910936/,8/6/2008,USA,9,/pineapple-express,Pineapple Express,8/6/2008,David Gordon Green,"Seth Rogen, Evan Goldberg","Seth Rogen,  James Franco,  Danny R. McBride",40
The Sisterhood of the Traveling Pants 2,tt1018785,2008,http://www.imdb.com/title/tt1018785/,8/6/2008,USA,31,/sisterhood-of-traveling-pants-2,The Sisterhood Of The Traveling Pants 2,8/8/2008,Sanaa Hamri,"Elizabeth Chandler, Ann Brashares","Alexis Bledel,  America Ferrera,  Blake Lively",4
Tropic Thunder,tt0942385,2008,http://www.imdb.com/title/tt0942385/,8/13/2008,USA,7,/tropic-thunder,Tropic Thunder,8/13/2008,Ben Stiller,"Ben Stiller, Etan Cohen, Justin Theroux","Ben Stiller,  Jack Black,  Robert Downey",37
Brideshead Revisited,tt0412536,2008,http://www.imdb.com/title/tt0412536/,8/15/2008,USA,3,/brideshead-revisited,Brideshead Revisited,7/25/2008,Julian Jarrold,"Jeremy Brock, Andrew Davies, Evelyn Waugh","Matthew Goode,  Ben Whishaw,  Hayley Atwell",3
Henry Poole Is Here,tt1029120,2008,http://www.imdb.com/title/tt1029120/,8/15/2008,USA,31,/henry-poole-is-here,Henry Poole is Here,8/15/2008,Mark Pellington,Albert Torres,"Luke Wilson,  Radha Mitchell,  Adriana Barraza",2
Mirrors,tt0790686,2008,http://www.imdb.com/title/tt0790686/,8/15/2008,USA,5,/mirrors,Mirrors,8/15/2008,Alexandre Aja,"Alexandre Aja, Gregory Levasseur","Amy Smart,  Kiefer Sutherland,  Paula Patton",12
Star Wars: The Clone Wars,tt1185834,2008,http://www.imdb.com/title/tt1185834/,8/15/2008,USA,31,/star-wars-clone-wars,Star Wars: The Clone Wars,8/15/2008,Unknown or Not Available,Unknown or Not Available,Unknown or Not Available,17
Vicky Cristina Barcelona,tt0497465,2008,http://www.imdb.com/title/tt0497465/,8/15/2008,USA,2,/vicky-christina-barcelona,Vicky Cristina Barcelona,8/15/2008,Woody Allen,Woody Allen,"Scarlett Johansson,  Javier Bardem,  Patricia Clarkson",6
The Rocker,tt1031969,2008,http://www.imdb.com/title/tt1031969/,8/20/2008,USA,1,/the-rocker,The Rocker,8/20/2008,Peter Cattaneo,"Ryan Jaffe, Wallace Wolodarsky, Maya Forbes","Rainn Wilson,  Christina Applegate,  Josh Gad",5
Death Race,tt0452608,2008,http://www.imdb.com/title/tt0452608/,8/22/2008,USA,31,/death-race,Death Race,8/22/2008,Paul W.S. Anderson,"J.F. Lawton, Paul W.S. Anderson","Jason Statham,  Joan Allen,  Tyrese Gibson",12
The House Bunny,tt0852713,2008,http://www.imdb.com/title/tt0852713/,8/22/2008,USA,31,/the-house-bunny,The House Bunny,8/22/2008,Fred Wolf,"Karen McCullah Lutz, Kirsten Smith","Anna Faris,  Colin Hanks,  Emma Stone",7
The Longshots,tt1091751,2008,http://www.imdb.com/title/tt1091751/,8/22/2008,USA,1,/the-longshots,The Longshots,8/22/2008,Fred Durst,"Nick Santora, Doug Atchison","Ice Cube,  Tasha Smith,  Keke Palmer",2
Hamlet 2,tt1104733,2008,http://www.imdb.com/title/tt1104733/,8/27/2008,USA,4,/hamlet-2,Hamlet 2,8/29/2008,Andy Fleming,"Andy Fleming, Pam Brady","Steve Coogan,  Catherine Keener,  Amy Poehler",7
Traitor,tt0988047,2008,http://www.imdb.com/title/tt0988047/,8/27/2008,USA,5,/traitor,Traitor,8/29/2008,Jeffrey Nachmanoff,Jeffrey Nachmanoff,"Don Cheadle,  Guy Pearce,  Jeff Daniels",13
Babylon A.D.,tt0364970,2008,http://www.imdb.com/title/tt0364970/,8/29/2008,USA,7,/babylon-ad,Babylon A.D.,8/29/2008,Mathieu Kassovitz,Eric Besnard,"Vin Diesel,  Michelle Yeoh,  Gerard Depardieu",8
College,tt0844671,2008,http://www.imdb.com/title/tt0844671/,8/29/2008,USA,4,/college,College,8/29/2008,Deb Hagan,"Dan Callahan, Adam Ellison","Gary Owens,  Ryan Pinkston,  Drake Bell",2
Disaster Movie,tt1213644,2008,http://www.imdb.com/title/tt1213644/,8/29/2008,USA,31,/disaster-movie,Disaster Movie,8/29/2008,"Jason Friedberg, Aaron Seltzer","Jason Friedberg, Aaron Seltzer","Matt Lanter,  Vanessa Minnillo,  Carmen Electra",13
Elegy,tt0974554,2008,http://www.imdb.com/title/tt0974554/,8/29/2008,USA,4,/elegy,Elegy,8/8/2008,Isobel Coixet,"Nicholas Meyer, Philip Roth","Penelope Cruz,  Ben Kingsley,  Patricia Clarkson",4
Fly Me to the Moon 3D,tt0486321,2008,http://www.imdb.com/title/tt0486321/,8/29/2008,USA,30,/fly-me-to-the-moon,Fly Me to the Moon,8/8/2008,Ben Stassen,Domonic Paris,"Nicolette Sheridan,  Tim Curry,  Christopher Lloyd",2
Bangkok Dangerous,tt0814022,2008,http://www.imdb.com/title/tt0814022/,9/5/2008,USA,25,/bangkok-dangerous,Bangkok Dangerous,9/5/2008,"Danny Pang, Oxide Pang",Jason Richman,"Nicolas Cage,  Charlie Yeung,  James With",9
Bottle Shock,tt0914797,2008,http://www.imdb.com/title/tt0914797/,9/5/2008,USA,14,/bottle-shock,Bottle Shock,8/8/2008,Randall Miller,"Randall Miller, Lannette Pabon, Jody Savin","Alan Rickman,  Chris Pine,  Bill Pullman",3
Frozen River,tt0978759,2008,http://www.imdb.com/title/tt0978759/,9/5/2008,USA,31,/frozen-river,Frozen River,8/1/2008,Courtney Hunt,Courtney Hunt,"Melissa Leo,  Misty Upham,  Charlie McDermott",2
Transsiberian,tt0800241,2008,http://www.imdb.com/title/tt0800241/,9/5/2008,USA,1,/transsiberian,Transsiberian,1/18/2008,Brad Anderson,"Brad Anderson, Will Conroy","Woody Harrelson,  Ben Kingsley,  Emily Mortimer",3
Burn After Reading,tt0887883,2008,http://www.imdb.com/title/tt0887883/,9/12/2008,USA,31,/burn-after-reading,Burn After Reading,9/12/2008,"Joel Coen, Ethan Coen","Joel Coen, Ethan Coen","George Clooney,  Brad Pitt,  Frances McDormand",18
Righteous Kill,tt1034331,2008,http://www.imdb.com/title/tt1034331/,9/12/2008,USA,31,/righteous-kill,Righteous Kill,9/12/2008,Jon Avnet,Russell Gerwitz,"Al Pacino,  Robert De Niro,  Curtis ""50 Cent"" Jackson",17
The Women,tt0430770,2008,http://www.imdb.com/title/tt0430770/,9/12/2008,USA,32,/the-women,The Women,9/12/2008,Diane English,Diane English,"Meg Ryan,  Annette Bening,  Eva Mendes",3
The Family That Preys,tt1142798,2008,http://www.imdb.com/title/tt1142798/,9/12/2008,USA,30,/tyler-perrys-family-preys,Tyler Perry's The Family That Preys,9/12/2008,Tyler Perry,Tyler Perry,"Kathy Bates,  Alfre Woodard,  Tyler Perry",2
Ghost Town,tt0995039,2008,http://www.imdb.com/title/tt0995039/,9/19/2008,USA,31,/ghost-town,Ghost Town,9/19/2008,David Koepp,"David Koepp, John Kamps","Ricky Gervais,  Greg Kinnear,  Kristen Wiig",12
Igor,tt0465502,2008,http://www.imdb.com/title/tt0465502/,9/19/2008,USA,3,/igor,Igor,9/19/2008,Tony Leondis,Chris McKenna,"John Cusack,  Steve Buscemi,  Jay Leno",7
Lakeview Terrace,tt0947802,2008,http://www.imdb.com/title/tt0947802/,9/19/2008,USA,2,/lakeview-terrace,Lakeview Terrace,9/19/2008,Neil LaBute,"David Loughery, Howard Korder","Samuel L. Jackson,  Patrick Wilson,  Kerry Washington",12
My Best Friend's Girl,tt1046163,2008,http://www.imdb.com/title/tt1046163/,9/19/2008,USA,30,/my-best-friends-girl,My Best Friend's Girl,9/19/2008,Howard Deutch,Jordan Cahan,"Dane Cook,  Kate Hudson,  Jason Biggs",10
Choke,tt1024715,2008,http://www.imdb.com/title/tt1024715/,9/26/2008,USA,2,/choke,Choke,9/26/2008,Clark Gregg,Clark Gregg,"Sam Rockwell,  Anjelica Huston,  Brad William Henke",18
Eagle Eye,tt1059786,2008,http://www.imdb.com/title/tt1059786/,9/26/2008,USA,31,/eagle-eye,Eagle Eye,9/26/2008,D.J. Caruso,Hillary Seitz,"Shia LaBeouf,  Michelle Monaghan,  Rosario Dawson",25
Fireproof,tt1129423,2008,http://www.imdb.com/title/tt1129423/,9/26/2008,USA,1,/fireproof,Fireproof,9/26/2008,Alex Kendrick,"Alex Kendrick, Stephen Kendrick","Jason McLeod,  Erin Bethea,  Kirk Cameron",1
Miracle at St. Anna,tt1046997,2008,http://www.imdb.com/title/tt1046997/,9/26/2008,USA,31,/miracle-at-st-anna,Miracle at St. Anna,9/26/2008,Spike Lee,James McBride,"Derek Luke,  Michael Ealy,  Laz Alonso",16
Nights in Rodanthe,tt0956038,2008,http://www.imdb.com/title/tt0956038/,9/26/2008,USA,31,/nights-in-rodanthe,Nights in Rodanthe,10/3/2008,George C. Wolfe,"Ann Peacock, John Romano","Richard Gere,  Diane Lane,  Scott Glenn",7
An American Carol,tt1190617,2008,http://www.imdb.com/title/tt1190617/,10/3/2008,USA,31,/an-american-carol,An American Carol,10/3/2008,David Zucker,"David Zucker, Myrna Sokoloff","Kevin Farley,  Kelsey Grammer,  Trace Adkins",7
Appaloosa,tt0800308,2008,http://www.imdb.com/title/tt0800308/,10/3/2008,USA,1,/appaloosa,Appaloosa,10/3/2008,Ed Harris,"Ed Harris, Robert Knott","Viggo Mortensen,  Renée Zellweger,  Timothy V. Murphy",3
Beverly Hills Chihuahua,tt1014775,2008,http://www.imdb.com/title/tt1014775/,10/3/2008,USA,16,/beverly-hills-chihuahua,Beverly Hills Chihuahua,9/26/2008,Raja Gosnell,"Analisa LaBianco, Jeff Bushell","Piper Perabo,  Manolo Cardona,  Jamie Lee Curtis",19
Blindness,tt0861689,2008,http://www.imdb.com/title/tt0861689/,10/3/2008,USA,3,/blindness,Blindness,9/19/2008,Fernando Meirelles,"Don McKellar, Jose Saramago","Mark Ruffalo,  Julianne Moore,  Gael Garcia Bernal",7
Flash of Genius,tt1054588,2008,http://www.imdb.com/title/tt1054588/,10/3/2008,USA,31,/flash-of-genius,Flash of Genius,10/3/2008,Marc Abraham,"Phillip Railsback, Scott Frank, Marc Abraham","Greg Kinnear,  Lauren Graham,  Dermot Mulroney",7
How to Lose Friends & Alienate People,tt0455538,2008,http://www.imdb.com/title/tt0455538/,10/3/2008,USA,31,/how-to-lose-friends-alienate-people,How to Lose Friends & Alienate People,10/3/2008,Robert B. Weide,"Peter Straughan, Toby Young","Simon Pegg,  Megan Fox,  Kirsten Dunst",10
Nick and Norah's Infinite Playlist,tt0981227,2008,http://www.imdb.com/title/tt0981227/,10/3/2008,USA,30,/nick-norahs-infinite-playlist,Nick and Norah's Infinite Playlist,10/3/2008,Peter Sollett,Lorene Scafaria,"Michael Cera,  Kat Dennings,  Rafi Gavron",16
Body of Lies,tt0758774,2008,http://www.imdb.com/title/tt0758774/,10/10/2008,USA,31,/body-of-lies,Body of Lies,10/10/2008,Ridley Scott,"William Monahan, Steve Zaillian, David Ignatius","Leonardo DiCaprio,  Russell Crowe,  Carice Van Houten",15
City of Ember,tt0970411,2008,http://www.imdb.com/title/tt0970411/,10/10/2008,USA,31,/city-of-ember,City of Ember,10/10/2008,Gil Kenan,Caroline Thompson,"Bill Murray,  Tim Robbins,  Saoirse Ronan",22
Quarantine,tt1082868,2008,http://www.imdb.com/title/tt1082868/,10/10/2008,USA,2,/quarantine,Quarantine,10/10/2008,John Erick Dowdle,"John Erick Dowdle, Drew Dowdle","Jennifer Carpenter,  Jay Hernandez,  Columbus Short",16
The Duchess,tt0864761,2008,http://www.imdb.com/title/tt0864761/,10/10/2008,USA,2,/the-duchess,The Duchess,8/29/2008,Saul Dibb,Jeffrey Hatcher,"Keira Knightley,  Ralph Fiennes,  Hayley Atwell",14
The Express,tt0469903,2008,http://www.imdb.com/title/tt0469903/,10/10/2008,USA,8,/the-express,The Express,10/10/2008,Gary Fleder,"Charles Leavitt, Robert Gallagher","Dennis Quaid,  Rob Brown,  Omar Benson Miller",11
Max Payne,tt0467197,2008,http://www.imdb.com/title/tt0467197/,10/17/2008,USA,15,/max-payne,Max Payne,10/17/2008,John Moore,Beau Thorne,"Mark Wahlberg,  Chris O'Donnell,  Beau Bridges",9
Sex Drive,tt1135985,2008,http://www.imdb.com/title/tt1135985/,10/17/2008,USA,31,/sex-drive,Sex Drive,10/17/2008,Sean Anders,"Sean Anders, John Morris","James Marsden,  Josh Zuckerman,  Amanda Crew",4
The Secret Life of Bees,tt0416212,2008,http://www.imdb.com/title/tt0416212/,10/17/2008,USA,31,/the-secret-life-of-bees,The Secret Life of Bees,10/17/2008,Gina Prince-Bythewood,"Gina Prince-Bythewood, Sue Monk Kidd","Queen Latifah,  Dakota Fanning,  Jennifer Hudson",18
W.,tt1175491,2008,http://www.imdb.com/title/tt1175491/,10/17/2008,USA,1,/w,W.,10/17/2008,Oliver Stone,Stanley Weiser,"Josh Brolin,  Elizabeth Banks,  Jeffrey Wright",10
High School Musical 3: Senior Year,tt0962726,2008,http://www.imdb.com/title/tt0962726/,10/24/2008,USA,31,/high-school-musical-3-senior-year,High School Musical 3: Senior Year,10/24/2008,Kenny Ortega,Peter Barsocchini,"Zac Efron,  Vanessa Hudgens,  Ashley Tisdale",22
Pride and Glory,tt0482572,2008,http://www.imdb.com/title/tt0482572/,10/24/2008,USA,31,/pride-and-glory,Pride and Glory,10/24/2008,Gavin O'Connor,"Joe Carnahan, Gavin O'Connor","Edward Norton,  Colin Farrell,  Noah Emmerich",3
Saw V,tt1132626,2008,http://www.imdb.com/title/tt1132626/,10/24/2008,USA,15,/saw5,Saw V,10/24/2008,David Hackl,"Patrick Melton, Marcus Dunstan","Tobin Bell,  Costas Mandylor,  Scott Patterson",22
Changeling,tt0824747,2008,http://www.imdb.com/title/tt0824747/,10/31/2008,USA,1,/changeling,Changeling,11/7/2008,Clint Eastwood,J. Michael Straczynski,"Angelina Jolie,  John Malkovich,  Jeffrey Donovan",10
RocknRolla,tt1032755,2008,http://www.imdb.com/title/tt1032755/,10/31/2008,USA,1,/rocknrolla,RocknRolla,10/31/2008,Guy Ritchie,Guy Ritchie,"Gerard Butler,  Jeremy Piven,  Gemma Arterton",8
The Haunting of Molly Hartley,tt1045655,2008,http://www.imdb.com/title/tt1045655/,10/31/2008,USA,31,/the-haunting-of-molly-hartley,The Haunting of Molly Hartley,10/31/2008,Mickey Liddell,"John Travis, Rebecca Sonnenshine","Chace Crawford,  Haley Bennett,  Shannon Marie Woodward",6
What Just Happened,tt0486674,2008,http://www.imdb.com/title/tt0486674/,10/31/2008,USA,30,/what-just-happened,What Just Happened?,10/17/2008,Barry Levinson,Art Linson,"Robert De Niro,  Sean Penn,  Bruce Willis",3
Zack and Miri Make a Porno,tt1007028,2008,http://www.imdb.com/title/tt1007028/,10/31/2008,USA,31,/zack-miri-make-porno,Zack and Miri Make a Porno,10/31/2008,Kevin Smith,Kevin Smith,"Seth Rogen,  Elizabeth Banks,  Craig Robinson",9
Madagascar: Escape 2 Africa,tt0479952,2008,http://www.imdb.com/title/tt0479952/,11/7/2008,USA,30,/madagascar-the-crate-escape,Madagascar: Escape to Africa,11/7/2008,"Eric Darnell, Tom McGrath","Eric Darnell, Tom McGrath","Ben Stiller,  Sacha Baron Cohen	,  David Schwimmer",23
Rachel Getting Married,tt1084950,2008,http://www.imdb.com/title/tt1084950/,11/7/2008,USA,21,/rachel-getting-married,Rachel Getting Married,10/3/2008,Jonathan Demme,Jenny Lumet,"Anne Hathaway,  Rosemarie DeWitt,  Bill Irwin",2
Role Models,tt0430922,2008,http://www.imdb.com/title/tt0430922/,11/7/2008,USA,3,/role-models,Role Models,11/7/2008,David Wain,"David Wain, Paul Rudd and Ken Marino","Seann William Scott,  Paul Rudd,  Christopher Mintz-Plasse",14
Soul Men,tt1111948,2008,http://www.imdb.com/title/tt1111948/,11/7/2008,USA,31,/soul-men,Soul Men,11/7/2008,Malcolm Lee,"Robert Ramsey, Matthew Stone","Samuel L. Jackson,  Bernie Mac,  Sean Hayes",3
Bolt,tt0397892,2008,http://www.imdb.com/title/tt0397892/,11/21/2008,USA,6,/bolt,Bolt,11/21/2008,"Chris Williams, Byron Howard",Chris Sanders,"John Travolta,  Miley Cyrus,  Susie Essman",22
Happy-Go-Lucky,tt1045670,2008,http://www.imdb.com/title/tt1045670/,11/21/2008,USA,30,/happy-go-lucky,Happy-Go-Lucky,10/10/2008,Mike Leigh,Mike Leigh,"Sally Hawkins,  Alexis Zegerman,  Andrea Riseborough",4
"Synecdoche, New York",tt0383028,2008,http://www.imdb.com/title/tt0383028/,11/21/2008,USA,31,/synecdoche-new-york,"Synecdoche, New York",10/24/2008,Charlie Kaufman,Charlie Kaufman,"Philip Seymour Hoffman,  Catherine Keener,  Michelle Williams",1
Twilight,tt1099212,2008,http://www.imdb.com/title/tt1099212/,11/21/2008,USA,9,/twilight,Twilight,11/21/2008,Catherine Hardwicke,"Melissa Rosenberg, Stephenie Meyer","Kristen Stewart,  Robert Pattinson,  Justin Chon",54
Australia,tt0455824,2008,http://www.imdb.com/title/tt0455824/,11/26/2008,USA,7,/australia,Australia,11/26/2008,Baz Luhrmann,"Baz Luhrmann, Ronald Harwood, Stuart Beattie, Richard Flanagan","Nicole Kidman,  Hugh Jackman,  David Wenham",24
