imdb_id,id,title,original_title,budget,revenue,genres,imdb_id,original_language,overview,production_companies,production_countries,release_date,runtime,spoken_languages,status,tagline,popularity,vote_average,vote_count,production_companies_number,production_countries_number,spoken_languages_number
tt0322259,584,2 Fast 2 Furious,2 Fast 2 Furious,76000000,236350661,Action|Crime|Thriller,tt0322259,en,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",Ardustry Entertainment|Mikona Productions GmbH & Co. KG|Original Film|Universal Pictures,United States of America,2003-06-05,107.0,English|Spanish,Released,How Fast Do You Want It?,6.855,6.4,4998,4,1,2
tt1272878,136400,2 Guns,2 Guns,61000000,131940411,Action|Comedy|Crime,tt1272878,en,A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,Universal Pictures|Marc Platt Productions|EFO Films|Envision Entertainment|BOOM! Studios,United States of America,2013-08-02,109.0,Spanish|English,Released,"2 Guns, 1 Bank.",24.013,6.5,2988,5,1,2
tt0137338,15256,200 Cigarettes,200 Cigarettes,6000000,6852450,Comedy|Drama|Romance,tt0137338,en,"It's New York City in 1981, and various twentysomethings are converging on a New Year's Eve party.",Paramount,United States of America,1999-02-26,101.0,English,Released,It's 11:59 on New Years Eve... do you know where your date is?,7.866,5.9,109,1,1,1
tt1711425,107811,21 & Over,21 & Over,13000000,48065672,Comedy,tt1711425,en,"Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",Mandeville Films|Relativity Media|SkyLand Entertainment|Virgin Produced,United States of America,2013-03-01,93.0,English,Released,Finally.,12.128,5.8,1203,4,1,1
tt8688634,535292,21 Bridges,21 Bridges,33000000,49939757,Crime|Action|Drama,tt8688634,en,"An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him.",AGBO|MWM Studios|Huayi Brothers Pictures,United States of America,2019-10-24,99.0,English,Released,The only way out is through him,31.263,6.8,1116,3,1,1
tt0315733,470,21 Grams,21 Grams,20000000,60427839,Drama|Crime|Thriller,tt0315733,en,"This is the story of three gentle persons: Paul Rivers, an ailing mathematician lovelessly married to an English émigré; Christina Peck, an upper-middle-class suburban housewife, happily married and mother of two little girl; and Jack Jordan, an ex-convict who has found in his Christian faith the strength to raise a family. They will be brought together by a terrible accident that will change their lives. By the final frame, none of them will be the same as they will learn harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably—forever.",This Is That Productions|Y Productions|Mediana Productions Filmgesellschaft,United States of America,2003-03-05,124.0,English,Released,How much does life weigh?,16.16,7.3,2137,3,1,1
tt1232829,64688,21 Jump Street,21 Jump Street,42000000,201585328,Action|Comedy|Crime,tt1232829,en,"In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.",Columbia Pictures|Relativity Media|Original Film|Metro-Goldwyn-Mayer|Sony Pictures,United States of America,2012-03-14,109.0,English,Released,They thought the streets were mean. Then they went back to high school.,31.651,6.9,7984,5,1,1
tt2294449,187017,22 Jump Street,22 Jump Street,50000000,188441614,Crime|Comedy|Action,tt2294449,en,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them.",Columbia Pictures|Original Film|MRC|LStar Capital|Metro-Goldwyn-Mayer|Stephen J. Cannell Productions|Storyville|75 Year Plan Productions|Sony Pictures,United States of America,2014-06-05,112.0,English,Released,They're not 21 anymore,36.658,6.9,6198,9,1,1
tt0274309,2750,24 Hour Party People,24 Hour Party People,0,0,Comedy|Drama|Music,tt0274309,en,"Manchester, 1976. Tony Wilson is an ambitious but frustrated local TV news reporter looking for a way to make his mark. After witnessing a life-changing concert by a band known as the Sex Pistols, he persuades his station to televise one of their performances, and soon Manchester's punk groups are clamoring for him to manage them. Riding the wave of a musical revolution, Wilson and his friends create the legendary Factory Records label and The Hacienda club.",The Film Consortium|Baby Cow Productions|UK Film Council|Revolution Films|United Artists|Film4 Productions,United Kingdom,2002-02-13,117.0,English,Released,Share the Ecstacy!,13.378,7.0,274,6,1,1
tt0307901,1429,25th Hour,25th Hour,5000000,24000000,Crime|Drama,tt0307901,en,"In New York City in the days following the events of 9/11, Monty Brogan is a convicted drug dealer about to start a seven-year prison sentence, and his final hours of freedom are devoted to hanging out with his closest buddies and trying to prepare his girlfriend for his extended absence.",Touchstone Pictures|40 Acres & A Mule Filmworks,United States of America,2002-12-16,135.0,English,Released,Can you change your whole life in one day?,13.288,7.4,1617,2,1,1
tt0988595,6557,27 Dresses,27 Dresses,30000000,160259319,Comedy|Romance,tt0988595,en,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,Fox 2000 Pictures|Spyglass Entertainment|Dune Entertainment III,United States of America,2008-01-10,111.0,English,Released,She's about to find the perfect fit.,23.857,6.4,2450,3,1,1
tt0289043,170,28 Days Later,28 Days Later,5000000,85720385,Horror|Thriller|Science Fiction,tt0289043,en,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",DNA Films,United Kingdom,2002-10-31,113.0,Spanish|English,Released,His fear began when he woke up alone. His terror began when he realised he wasn't.,44.022,7.2,4451,1,1,2
