tmdb_id,imdb_id,title,year,
23398,tt1231580,Alvin and the Chipmunks: The Squeakquel,2009,
194,tt0211915,Amélie,2002,
15163,tt0454776,Amazing Grace,2007,
8915,tt1129445,Amelia,2009,
11467,tt0265029,America's Sweethearts,2001,
489931,tt6212478,American Animals,2018,
14,tt0169547,American Beauty,1999,
9310,tt0465142,American Dreamz,2006,
4982,tt0765429,American Gangster,2007,
73,tt0120586,American History X,1998,
168672,tt1800241,American Hustle,2013,
13199,tt0103671,American Me,1992,
13496,tt0244000,American Outlaws,2001,
2105,tt0163651,American Pie,1999,
2770,tt0252866,American Pie 2,2001,
1359,tt0144084,American Psycho,2000,
71552,tt1605630,American Reunion,2012,
190859,tt2179136,American Sniper,2015,
2771,tt0305206,American Splendor,2003,
8273,tt0328828,American Wedding,2003,
11831,tt0118607,Amistad,1997,
31000,tt0106266,Amos & Andrew,1993,
13948,tt1190617,An American Carol,2008,
10008,tt0429573,An American Haunting,2006,
10380,tt0101329,An American Tail: Fievel Goes West,1991,
9406,tt0118604,An American Werewolf in Paris,1997,
24684,tt1174732,An Education,2010,
24137,tt0122541,An Ideal Husband,1999,
9360,tt0118615,Anaconda,1997,
11237,tt0366174,Anacondas: The Hunt for the Blood Orchid,2004,
9932,tt0289848,Analyze That,2002,
9535,tt0122933,Analyze This,1999,
9444,tt0118617,Anastasia,1997,
109443,tt1229340,Anchorman 2: The Legend Continues,2013,
8699,tt0357413,Anchorman: The Legend of Ron Burgundy,2004,
253235,tt2465146,And So It Goes,2014,
534780,tt8108198,Andhadhun,2018,
21352,tt0109120,André,1994,
5852,tt0225071,Angel Eyes,2001,
423204,tt6189022,Angel Has Fallen,2019,
10397,tt0145653,Angela's Ashes,2000,
13448,tt0808151,Angels & Demons,2009,
8447,tt0112365,Angels and Insects,1996,
24795,tt0109127,Angels in the Outfield,1994,
9506,tt0305224,Anger Management,2003,
83714,tt0109129,Angie,1994,
25969,tt0112368,Angus,1995,
484641,tt7456310,Anna,2019,
1439,tt0166485,Anna and the King,1999,
250546,tt3322940,Annabelle,2014,
521029,tt8350360,Annabelle Comes Home,2019,
13275,tt0417433,Annapolis,2006,
196867,tt1823664,Annie,2014,
300668,tt2798920,Annihilation,2018,
11595,tt0099044,Another 48 Hrs.,1990,
9409,tt0106292,Another Stakeout,1993,
44009,tt1431181,Another Year,2011,
23303,tt0101356,Another You,1991,
363088,tt5095030,Ant-Man and the Wasp,2018,
9989,tt0218817,Antitrust,2001,
13435,tt0168786,Antwone Fisher,2003,
8916,tt0120587,Antz,1998,
9563,tt0146838,Any Given Sunday,1999,
10739,tt0313792,Anything Else,2003,
21349,tt0149691,Anywhere But Here,1999,
568,tt0112384,Apollo 13,1995,
50357,tt1772240,Apollo 18,2011,
12690,tt0800308,Appaloosa,2008,
9445,tt0118636,Apt Pupil,1998,
13158,tt0455326,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,
297802,tt1477834,Aquaman,2018,
14191,tt0429591,Aquamarine,2006,
